Ticker,Name,Exchange,Last Price,% Chg,Market Cap. (USD),BCA Score,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,IV
A,"Agilent Technologies, Inc.",NYSE,136.9,0.001,39942062080,77.14,Diagnostics & Research,Healthcare,32.44,23.98,0.69,140,2.26,2.95,29.43
AA,Alcoa Corporation,NYSE,30.56,-0.0023,7894874624,20.72,Aluminum,Basic Materials,0,10.95,1.31,43.61,42.7,44.01,52.92
AADI,"Aadi Bioscience, Inc.",NasdaqCM,1.39,0.0296,34214620,4.22,Biotechnology,Healthcare,0,-0.57,0,11,691.37,691.37,116.79
AAL,American Airlines Group Inc.,NasdaqGS,9.86,-0.003,6475100672,10.09,Airlines,Industrials,0,5.42,0,12,21.7,21.7,52.08
AAN,"The Aaron's Company, Inc.",NYSE,10.02,0,307741984,13.28,Rental & Leasing Services,Industrials,0,17.28,4.99,10.1,0.8,5.79,64.68
AAOI,"Applied Optoelectronics, Inc.",NasdaqGM,7.74,-0.0968,316532832,14.67,Communication Equipment,Technology,0,15.18,0,15,93.8,93.8,152.24
AAON,"AAON, Inc.",NasdaqGS,86.67,0.007,7021409792,69.14,Building Products & Equipment,Industrials,38.87,31.06,0.37,102,17.69,18.06,46.2
AAP,"Advance Auto Parts, Inc.",NYSE,60.21,-0.0117,3589064960,13.15,Specialty Retail,Consumer Cyclical,167.25,13.94,1.66,64,6.29,7.95,63.35
AAPL,Apple Inc.,NasdaqGS,216.24,0.0137,3.29E+12,88.58,Consumer Electronics,Technology,32.91,31.57,0.46,219.87,1.68,2.14,28.65
AAT,"American Assets Trust, Inc.",NYSE,25.13,-0.0036,1530456832,47.35,REIT—Diversified,Real Estate,28.24,35.39,5.33,22,-12.46,-7.13,29.9
AB,AllianceBernstein Holding L.P.,NYSE,33.29,0.0063,3815681536,98.49,Asset Management,Financial Services,11.6,9.57,8.59,39.5,18.65,27.24,19.69
ABAT,American Battery Technology Company,NasdaqCM,1.01,0.01,59184112,0.67,Other Industrial Metals & Mining,Basic Materials,0,-7.21,0,7.5,642.57,642.57,130
ABBV,AbbVie Inc.,NYSE,189.93,-0.0025,3.35E+11,97.31,Drug Manufacturers - General,Healthcare,63.73,17.16,3.26,179.56,-5.46,-2.2,25.23
ABCB,Ameris Bancorp,NYSE,56.26,-0.0081,3871213824,71.87,Banks—Regional,Financial Services,12.5,11.25,1.07,65,15.54,16.61,62.26
ABCL,AbCellera Biologics Inc.,NasdaqGS,2.68,-0.0325,789703616,14.57,Biotechnology,Healthcare,0,-3.67,0,13,385.07,385.07,88.29
ABEO,Abeona Therapeutics Inc.,NasdaqCM,4.42,-0.0112,181055104,28.36,Biotechnology,Healthcare,0,-3.18,0,17.5,295.93,295.93,85.63
ABG,"Asbury Automotive Group, Inc.",NYSE,233.92,-0.0016,4718689792,33.56,Auto & Truck Dealerships,Consumer Cyclical,11.89,7.76,0,242.5,3.67,3.67,40.99
ABM,ABM Industries Incorporated,NYSE,52.8,0.0074,3313919232,59.94,Specialty Business Services,Industrials,13.79,14.31,1.7,52,-1.52,0.18,30.7
ABNB,"Airbnb, Inc.",NasdaqGS,115.08,0.0038,72779292672,76.36,Travel Services,Consumer Cyclical,15.66,26.58,0,119.09,3.48,3.48,59.53
ABOS,"Acumen Pharmaceuticals, Inc.",NasdaqGS,2.64,-0.0365,158610608,9.41,Biotechnology,Healthcare,0,-1.86,0,14,430.3,430.3,126.3
ABR,"Arbor Realty Trust, Inc.",NYSE,13.55,0.003,2554837248,13,REIT—Mortgage,Real Estate,9.41,8.07,12.69,13.5,-0.37,12.32,37.38
ABSI,Absci Corporation,NasdaqGS,3.69,-0.0212,417278752,47.98,Biotechnology,Healthcare,0,-5.35,0,7,89.7,89.7,107.25
ABT,Abbott Laboratories,NYSE,108.71,-0.0096,1.89E+11,89.94,Medical Devices,Healthcare,34.29,21.15,2.02,122,12.23,14.25,25.19
ABUS,Arbutus Biopharma Corporation,NasdaqGS,3.65,0.0139,689054400,66.83,Biotechnology,Healthcare,0,-10.43,0,5,36.99,36.99,66.15
ACA,"Arcosa, Inc.",NYSE,81.33,-0.0094,3967602688,63.44,Engineering & Construction,Industrials,26.93,18.91,0.25,108,32.79,33.04,51.88
ACAD,ACADIA Pharmaceuticals Inc.,NasdaqGS,15.63,-0.0054,2592642816,49.74,Biotechnology,Healthcare,82.26,17.56,0,26,66.35,66.35,116.93
ACCD,"Accolade, Inc.",NasdaqGS,3.52,-0.0303,281629472,12.92,Health Information Services,Healthcare,0,-3.71,0,8,127.27,127.27,89.06
ACCO,ACCO Brands Corporation,NYSE,4.74,-0.0166,454081760,22.73,Business Equipment & Supplies,Industrials,0,3.79,6.33,12,153.16,159.49,47.34
ACDC,ProFrac Holding Corp.,NasdaqGS,5.77,-0.0549,922830976,13.69,Oil & Gas Equipment & Services,Energy,0,5.6,0,10,73.31,73.31,77.98
ACEL,"Accel Entertainment, Inc.",NYSE,10.84,-0.0046,895760832,67.81,Gambling,Consumer Cyclical,19.02,13.22,0,14.5,33.76,33.76,39.63
ACET,"Adicet Bio, Inc.",NasdaqGM,1.34,0.0075,110112496,8.82,Biotechnology,Healthcare,0,-0.85,0,7,422.39,422.39,85.68
ACGL,Arch Capital Group Ltd.,NasdaqGS,98.79,0.004,37000138752,94.88,Insurance—Diversified,Financial Services,6.95,10.8,0,114,15.4,15.4,28.84
ACHC,"Acadia Healthcare Company, Inc.",NasdaqGS,71.58,-0.0017,6647434752,57.29,Medical Care Facilities,Healthcare,0,18.03,0,90,25.73,25.73,41.15
ACHR,Archer Aviation Inc.,NYSE,3.64,-0.0877,1241090944,23.5,Aerospace & Defense,Industrials,0,-3.6,0,9,147.25,147.25,72.87
ACHV,"Achieve Life Sciences, Inc.",NasdaqCM,4.28,-0.051,146980768,38.02,Biotechnology,Healthcare,0,-4.55,0,14,227.1,227.1,66.25
ACI,"Albertsons Companies, Inc.",NYSE,19.51,-0.0031,11298046976,77.05,Grocery Stores,Consumer Defensive,10.16,8.03,2.46,24.5,25.58,28.04,33.41
ACIU,AC Immune SA,NasdaqGM,3.28,-0.0465,324524160,44.93,Biotechnology,Healthcare,0,-8.2,0,8.44,157.32,157.32,96.38
ACIW,"ACI Worldwide, Inc.",NasdaqGS,46.59,0.006,4875981824,94.14,Software—Infrastructure,Technology,27.41,25.32,0,55,18.05,18.05,70.65
ACLS,"Axcelis Technologies, Inc.",NasdaqGS,112.47,-0.0206,3668499968,24.4,Semiconductor Equipment & Materials,Technology,15.47,15.18,0,147.5,31.15,31.15,59.9
ACLX,"Arcellx, Inc.",NasdaqGS,59.05,0.1231,3159326976,54.58,Biotechnology,Healthcare,0,-27.85,0,81,37.17,37.17,69.07
ACM,AECOM,NYSE,96.58,-0.0034,12948166656,84.2,Engineering & Construction,Industrials,35.64,19.39,0.91,106,9.75,10.66,32.08
ACMR,"ACM Research, Inc.",NasdaqGM,19.1,-0.02,1193192704,14.29,Semiconductor Equipment & Materials,Technology,15.28,9.85,0,36,88.48,88.48,106.55
ACN,Accenture plc,NYSE,315.83,-0.0002,1.98E+11,86.21,Information Technology Services,Technology,28.9,24.73,1.63,350,10.82,12.45,26.98
ACNB,ACNB Corporation,NasdaqCM,37.35,-0.0119,319179232,62.45,Banks—Regional,Financial Services,10.2,9.63,3.43,41,9.77,13.2,40.01
ACNT,Ascent Industries Co.,NasdaqGM,10.29,0.0049,104183544,54.48,Steel,Basic Materials,0,12.86,0,18,74.93,74.93,50.31
ACR,ACRES Commercial Realty Corp.,NYSE,15.54,0.0124,113421704,58.5,REIT—Mortgage,Real Estate,18.95,7.19,0,18.25,17.44,17.44,37.83
ACRE,Ares Commercial Real Estate Corporation,NYSE,6.79,-0.0088,369609728,13.49,REIT—Mortgage,Real Estate,0,11.32,14.73,7,3.09,17.82,30
