Ticker,Name,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MAV,Price Above 200 MAV
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,29.52,25.09,0.68,146.04,2.85,3.53,NYQ,142,"40,800,575,488",26.63,XLV,0.13,S&P 500,,,137.35075,YES
AAL,American Airlines Group Inc.,Airlines,Industrials,0.00,6.01,0.00,11.58,3.62,3.62,NMS,11.175,"7,338,667,520",49.35,,0.07,S&P 500,,,12.89345,NO
AAON,"AAON, Inc.",Building Products & Equipment,Industrials,45.40,36.29,0.33,99.75,-1.48,-1.15,NMS,101.2475,"8,202,383,872",45.64,,-0.03,,,,81.4927,YES
AAP,"Advance Auto Parts, Inc.",Specialty Retail,Consumer Cyclical,0.00,15.32,2.38,52.95,25.24,27.62,NYQ,42.28,"2,523,029,248",46.9,,0.59,,,,64.84655,NO
AAPL,Apple Inc.,Consumer Electronics,Technology,34.80,30.61,0.45,240.58,5.08,5.53,NMS,228.96,"3,481,586,892,800",25.85,XLK,0.21,S&P 500,DJIA,Nasdaq 100,195.96594,YES
AAT,"American Assets Trust, Inc.",REIT—Diversified,Real Estate,30.48,38.20,4.94,22,-18.89,-13.95,NYQ,27.125,"2,090,879,232",32.11,,-0.43,,,,22.7663,YES
AB,AllianceBernstein Holding L.P.,Asset Management,Financial Services,12.26,10.00,8.27,40.13,14.05,22.32,NYQ,35.185,"4,032,869,632",18.05,,1.24,,,,33.28515,YES
ABBV,AbbVie Inc.,Drug Manufacturers—General,Healthcare,64.82,16.03,3.21,197.33,1.82,5.03,NYQ,193.81,"342,334,341,120",22.07,XLV,0.23,S&P 500,,,171.8617,YES
ABCB,Ameris Bancorp,Banks—Regional,Financial Services,14.43,12.99,0.96,67.8,4.40,5.36,NYQ,64.94,"4,485,211,136",72.8,,0.07,,,,51.0792,YES
ABEO,Abeona Therapeutics Inc.,Biotechnology,Healthcare,0.00,-3.93,0.00,15.92,173.54,173.54,NCM,5.82,"252,089,808",152.49,,1.14,,,,5.4526,YES
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,Consumer Cyclical,11.45,7.77,0.00,243,7.77,7.77,NYQ,225.475,"4,505,013,248",37.82,,0.21,,,,224.5303,YES
ABM,ABM Industries Incorporated,Specialty Business Services,Industrials,21.44,13.95,1.77,57.5,10.80,12.57,NYQ,51.895,"3,258,554,624",29.81,,0.42,,,,46.84315,YES
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,17.57,28.03,0.00,127.54,-1.25,-1.25,NMS,129.15,"81,677,426,688",34.24,XLY,-0.04,S&P 500,,Nasdaq 100,144.65837,NO
ABR,"Arbor Realty Trust, Inc.",REIT—Mortgage,Real Estate,10.60,9.09,11.44,14,-8.32,3.12,NYQ,15.27,"2,879,143,168",31.19,,0.10,,,,13.61845,YES
ABR,"Arbor Realty Trust, Inc.",REIT—Mortgage,Real Estate,10.60,9.09,11.44,14,-8.32,3.12,NYQ,15.27,"2,879,143,168",31.19,,0.10,,,,13.61845,YES
ABUS,Arbutus Biopharma Corporation,Biotechnology,Healthcare,0.00,-11.77,0.00,5,21.36,21.36,NMS,4.1199,"777,763,008",66.17,,0.32,,,,3.0244,YES
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,Healthcare,86.58,19.82,0.00,25.28,53.68,53.68,NMS,16.45,"2,728,660,224",55.29,,0.97,,,,20.01355,NO
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,Industrials,0.00,4.52,5.58,10.67,96.50,102.08,NYQ,5.43,"520,182,048",46.88,,2.18,,,,5.3488,YES
ACGL,Arch Capital Group Ltd.,Insurance—Diversified,Financial Services,7.85,12.31,0.00,114.67,2.71,2.71,NMS,111.64,"41,986,875,392",23.64,XLF,0.11,S&P 500,,,92.86955,YES
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,Healthcare,0.00,19.50,0.00,89.33,15.38,15.38,NMS,77.42,"7,189,778,432",39.8,,0.39,,,,74.70825,YES
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,Healthcare,0.00,-4.38,0.00,15.43,238.38,238.38,NCM,4.56,"156,596,320",85.63,,2.78,,,,4.58105,NO
ACIW,"ACI Worldwide, Inc.",Software—Infrastructure,Technology,29.15,25.41,0.00,56.33,13.68,13.68,NMS,49.55,"5,185,754,112",39.34,,0.35,,,,35.92845,YES
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,Technology,14.02,13.75,0.00,148.26,45.67,45.67,NMS,101.775,"3,319,656,192",54.63,,0.84,,,,118.93435,NO
ACM,AECOM,Engineering & Construction,Industrials,37.22,20.29,0.90,107.78,6.86,7.76,NYQ,100.86,"13,521,997,824",28.89,,0.27,,,,91.461,YES
ACN,Accenture plc,Information Technology Services,Technology,30.62,26.11,1.53,354.27,5.84,7.37,NYQ,334.715,"209,660,116,992",36.03,XLK,0.20,S&P 500,,,333.50806,YES
ACNB,ACNB Corporation,Banks—Regional,Financial Services,11.77,11.11,2.99,41,-4.86,-1.87,NCM,43.094,"368,265,408",40.01,,-0.05,,,,37.5324,YES
ACNT,Ascent Industries Co.,Steel,Basic Materials,0.00,0.00,0.00,18,114.29,114.29,NGM,8.3999,"85,046,472",47.3,,2.42,,,,9.92215,NO
ACR,ACRES Commercial Realty Corp.,REIT—Mortgage,Real Estate,18.78,7.55,0.00,18.25,18.51,18.51,NYQ,15.4,"121,247,736",29.06,,0.64,,,,12.48555,YES
ACRE,Ares Commercial Real Estate Corporation,REIT—Mortgage,Real Estate,0.00,13.47,13.05,7,-10.37,2.68,NYQ,7.81,"425,791,040",20.52,,0.13,,,,7.8945,NO
ACTG,Acacia Research Corporation,Business Equipment & Supplies,Industrials,6.25,14.65,0.00,7,49.29,49.29,NMS,4.689,"470,658,400",44.9,,1.10,,,,4.68475,YES
ADBE,Adobe Inc.,Software—Infrastructure,Technology,44.43,25.49,0.00,625.88,19.48,19.48,NMS,523.83,"232,266,235,904",28.74,XLK,0.68,S&P 500,,Nasdaq 100,542.3828,NO
ADC,Agree Realty Corporation,REIT—Retail,Real Estate,41.39,40.49,3.97,74.31,0.30,4.27,NYQ,74.09,"7,481,015,296",18.29,,0.23,,,,62.28325,YES
ADI,"Analog Devices, Inc.",Semiconductors,Technology,70.56,30.98,1.65,256.75,9.61,11.26,NMS,234.25,"116,303,486,976",32.1,XLK,0.35,S&P 500,,Nasdaq 100,208.0204,YES
ADM,Archer-Daniels-Midland Company,Farm Products,Consumer Defensive,12.47,11.57,3.30,62.23,-0.60,2.70,NYQ,62.605,"29,934,080,000",25.37,XLP,0.11,S&P 500,,,61.65495,YES
ADP,"Automatic Data Processing, Inc.",Software—Application,Technology,30.48,25.45,2.03,273.41,-1.44,0.59,NMS,277.413,"113,127,636,992",22.53,XLI,0.03,S&P 500,,Nasdaq 100,247.7969,YES
ADSK,"Autodesk, Inc.",Software—Application,Technology,55.08,29.34,0.00,296.96,10.25,10.25,NMS,269.36,"58,049,499,136",28.9,XLK,0.35,S&P 500,,Nasdaq 100,241.08795,YES
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,Technology,0.00,24.35,6.77,7,19.76,26.53,NMS,5.845,"463,111,008",54.8,,0.48,,,,5.76565,YES
ADUS,Addus HomeCare Corporation,Medical Care Facilities,Healthcare,31.85,22.87,0.00,133.44,-0.25,-0.25,NMS,133.77,"2,421,277,184",30.71,,-0.01,,,,106.6974,YES
AEE,Ameren Corporation,Utilities—Regulated Electric,Utilities,18.87,17.03,3.17,84.09,0.57,3.74,NYQ,83.61,"22,308,569,088",19.88,XLU,0.19,S&P 500,,,74.3217,YES
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,Technology,11.55,26.41,0.00,25,93.20,93.20,NCM,12.94,"382,813,056",85.31,,1.09,,,,15.5569,NO
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,Industrials,41.33,18.69,0.41,115.38,13.48,13.89,NMS,101.675,"3,830,351,616",42.4,,0.33,,,,103.321,NO
AEM,Agnico Eagle Mines Limited,Gold,Basic Materials,70.14,19.80,1.97,85.27,4.82,6.79,NYQ,81.3508,"40,868,327,424",34.44,,0.20,,,,63.02625,YES
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,Consumer Cyclical,16.04,10.34,2.51,23.78,18.54,21.05,NYQ,20.06,"3,851,843,584",39.21,,0.54,,,,21.79195,NO
AEP,"American Electric Power Company, Inc.",Utilities—Regulated Electric,Utilities,20.41,17.07,3.41,99.79,-2.23,1.18,NMS,102.07,"54,313,488,384",19.42,XLU,0.06,S&P 500,,Nasdaq 100,87.60155,YES
AER,AerCap Holdings N.V.,Rental & Leasing Services,Industrials,6.45,8.17,1.06,106.88,9.15,10.21,NYQ,97.92,"19,109,969,920",28.24,,0.36,,,,85.4223,YES
AES,The AES Corporation,Utilities—Diversified,Utilities,18.07,9.17,3.55,22.59,19.05,22.60,NYQ,18.975,"13,489,783,808",40.73,XLU,0.55,S&P 500,,,17.84345,YES
AFG,"American Financial Group, Inc.",Insurance—Property & Casualty,Financial Services,12.89,11.50,2.10,139.4,2.00,4.10,NYQ,136.66,"11,466,293,248",22.58,,0.18,,,,126.3585,YES
AFL,Aflac Incorporated,Insurance—Life,Financial Services,11.40,15.26,1.84,98.83,-8.67,-6.83,NYQ,108.21,"60,600,410,112",21.01,XLF,-0.33,S&P 500,,,88.43465,YES
AG,First Majestic Silver Corp.,Silver,Basic Materials,0.00,21.02,0.31,7.93,30.11,30.42,NYQ,6.095,"1,843,060,864",62.01,,0.49,,,,5.924,YES
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,Industrials,17.13,12.87,1.24,109.09,13.75,14.99,NYQ,95.905,"7,158,569,984",34.04,,0.44,,,,108.4635,NO
AGEN,Agenus Inc.,Biotechnology,Healthcare,0.00,-0.62,0.00,9.75,61.33,61.33,NCM,6.0435,"130,369,776",141.01,,0.43,,,,11.5872,NO
AGI,Alamos Gold Inc.,Gold,Basic Materials,40.25,20.13,0.50,22.08,9.71,10.21,NYQ,20.125,"8,459,281,920",36.33,,0.28,,,,15.2262,YES
AGM,Federal Agricultural Mortgage Corporation,Credit Services,Financial Services,11.51,10.62,3.00,218,15.69,18.69,NYQ,188.43,"1,985,656,448",36.18,,0.52,,,,185.3084,YES
AGNC,AGNC Investment Corp.,REIT—Mortgage,Real Estate,28.02,5.40,13.51,10.34,-2.88,10.63,NMS,10.6471,"8,330,972,672",17.01,,0.62,,,,9.74155,YES
AGO,Assured Guaranty Ltd.,Insurance—Specialty,Financial Services,6.65,12.80,1.53,99.75,22.94,24.47,NYQ,81.14,"4,270,852,608",29.05,,0.84,,,,79.53695,YES
AGRO,Adecoagro S.A.,Farm Products,Consumer Defensive,5.73,9.81,2.95,13.42,15.99,18.94,NYQ,11.57,"1,185,473,792",36.02,,0.53,,,,10.41495,YES
AGX,"Argan, Inc.",Engineering & Construction,Industrials,29.57,18.64,1.36,77.5,-17.85,-16.49,NYQ,94.34,"1,273,552,256",45.31,,-0.36,,,,60.92675,YES
AGYS,"Agilysys, Inc.",Software—Application,Technology,28.85,63.86,0.00,124,18.40,18.40,NMS,104.73,"2,920,060,928",47.84,,0.38,,,,91.34595,YES
AHT,"Ashford Hospitality Trust, Inc.",REIT—Hotel & Motel,Real Estate,0.00,-0.42,0.00,2.5,165.99,165.99,NYQ,0.9399,"51,105,744",98.75,,1.68,,,,1.325,NO
AIG,"American International Group, Inc.",Insurance—Diversified,Financial Services,14.09,10.58,2.18,83.69,13.11,15.29,NYQ,73.99,"47,642,714,112",25.55,XLF,0.60,S&P 500,,,73.41255,YES
AIN,Albany International Corp.,Textile Manufacturing,Consumer Cyclical,25.28,19.28,1.20,101.6,15.21,16.41,NYQ,88.19,"2,764,690,432",34.7,,0.47,,,,89.48845,NO
AIR,AAR Corp.,Aerospace & Defense,Industrials,53.58,14.99,0.00,83.5,20.80,20.80,NYQ,69.12,"2,477,952,000",37.44,,0.56,,,,65.7289,YES
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,Industrials,22.62,21.32,0.69,223,0.38,1.07,NYQ,222.16,"8,539,763,712",30.04,,0.04,,,,189.1316,YES
AIZ,"Assurant, Inc.",Insurance—Property & Casualty,Financial Services,12.95,10.97,1.49,211.8,9.16,10.65,NYQ,194.02,"10,048,935,936",35.63,,0.30,S&P 500,,,174.94556,YES
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,Financial Services,55.37,24.89,0.82,285.85,0.83,1.65,NYQ,283.49,"62,112,657,408",24.5,XLF,0.07,S&P 500,,,253.83485,YES
AKAM,"Akamai Technologies, Inc.",Software—Infrastructure,Technology,24.67,14.52,0.00,118.28,18.96,18.96,NMS,99.43,"15,066,229,760",30.78,,0.62,S&P 500,,,104.5324,NO
AKR,Acadia Realty Trust,REIT—Retail,Real Estate,2274.00,66.88,3.36,23.2,2.02,5.38,NYQ,22.74,"2,548,881,152",31.93,,0.17,,,,18.0592,YES
AL,Air Lease Corporation,Rental & Leasing Services,Industrials,9.75,9.84,1.89,56.6,24.54,26.43,NYQ,45.4464,"5,061,683,712",32.27,,0.82,,,,45.17505,YES
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,0.00,27.71,1.87,108.11,21.17,23.04,NYQ,89.22,"10,486,294,528",56.27,XLB,0.41,S&P 500,,,113.51605,NO
ALE,"ALLETE, Inc.",Utilities—Diversified,Utilities,16.63,15.73,4.42,63.97,0.17,4.59,NYQ,63.86,"3,688,189,696",9.89,,0.46,,,,61.1933,YES
ALEX,"Alexander & Baldwin, Inc.",REIT—Retail,Real Estate,27.56,33.07,4.49,20.88,5.24,9.73,NYQ,19.84,"1,440,816,512",25.69,,0.38,,,,17.4968,YES
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,Industrials,17.54,15.50,0.57,216.5,16.88,17.45,NYQ,185.24,"2,233,994,496",30.32,,0.58,,,,195.0195,NO
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,43.86,24.53,0.00,285.93,10.68,10.68,NMS,258.34,"19,297,249,280",47.38,XLV,0.23,S&P 500,,,267.2573,NO
ALGT,Allegiant Travel Company,Airlines,Industrials,0.00,8.32,5.60,55.67,29.37,34.97,NMS,43.03,"787,311,296",63.4,,0.55,,,,61.14395,NO
ALIM,"Alimera Sciences, Inc.",Drug Manufacturers—Specialty & Generic,Healthcare,5.28,29.16,0.00,5.67,2.35,2.35,NGM,5.54,"301,288,480",24.84,,0.09,,,,4.23045,YES
ALK,"Alaska Air Group, Inc.",Airlines,Industrials,22.55,7.02,0.00,53.53,34.90,34.90,NYQ,39.68,"5,004,727,296",37.25,,0.94,,,,39.0465,YES
ALKS,Alkermes plc,Drug Manufacturers—Specialty & Generic,Healthcare,12.42,10.81,0.00,34.92,23.28,23.28,NMS,28.325,"4,664,221,184",40.76,,0.57,,,,26.51,YES
ALL,The Allstate Corporation,Insurance—Property & Casualty,Financial Services,17.41,10.59,1.93,199.29,4.44,6.37,NYQ,190.825,"50,385,620,992",26.06,XLF,0.24,S&P 500,,,163.82135,YES
ALLE,Allegion plc,Security & Protection Services,Industrials,22.82,18.60,1.34,136.71,-4.92,-3.58,NYQ,143.78,"12,527,277,056",33.83,,-0.11,S&P 500,,,126.108,YES
ALLT,Allot Ltd.,Software—Infrastructure,Technology,0.00,313.00,0.00,13,315.34,315.34,NMS,3.13,"121,169,816",62.5,,5.05,,,,2.2509,YES
ALNT,Allient Inc.,Electronic Components,Technology,17.83,11.36,0.59,29.33,41.83,42.42,NGM,20.68,"348,336,000",42.01,,1.01,,,,27.63165,NO
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,Healthcare,0.00,-179.96,0.00,286.65,4.11,4.11,NMS,275.34,"35,348,422,656",39.14,,0.10,,,,191.1416,YES
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,Consumer Cyclical,11.77,10.16,1.13,85,-6.20,-5.07,NYQ,90.62,"7,896,437,248",40.04,,-0.13,,,,74.0967,YES
ALT,"Altimmune, Inc.",Biotechnology,Healthcare,0.00,-5.20,0.00,20.57,168.89,168.89,NGM,7.65,"543,693,184",103.73,,1.63,,,,8.076075,NO
