Ticker,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25
A,-7.07,3.79,-1.44,-31.68,9.53,-1.02,-7.79,-0.29,8.69,17.57,-9.44,12.39,12.42,8.61,13.78,7.94,-10.47,0.46,-1.89,17.38,3.22,-11.58,9.13,8.99,-7.15,25.66,5.98,17.71,11.21,14.66,2.78,-11.54,-14.39,12.43,3.17,9.92,-10.95,-10.09,-15.11,25.86,5.33,16.12,23.51,24.85,22.13,17.25
AACG,-0.75,16.83,-3.66,-2.68,-5.96,41.22,-56.48,154.76,-19.16,-10.79,-11.88,-8.82,2.15,19.47,6.83,-4.74,12.55,-19.42,-74.94,-12.38,7.83,172.18,-39.63,-16.5,-30.35,32.91,-12.3,7.69,267.23,-29.52,-24.03,-54.23,38.19,-28.38,61.32,-25.56,51.61,-25.91,-21.68,3.57,-8.62,-42.80,-7.05,19.11,34.25,30.53
AAME,-11,5.77,3.38,1.26,0,-10.17,11.6,23.51,-10.82,-11.01,-18.18,26.54,-2.44,-6.25,-13.33,4.62,-2.94,-18.18,-7.41,-3.64,5.85,-3.92,13.06,-28.88,7.11,-21.56,20.85,3,78.64,17.39,-3.94,-40.96,27.76,-14.7,7.12,-18.15,4.7,-21.26,0,26.94,14.29,-12.44,-5.98,11.7,3.36,5.65
AAON,-12.77,20.27,-23.88,31.63,9.55,-8.19,-13.94,19.81,20.59,-1.75,4.76,14.68,6.96,4.24,-6.45,6.46,6.27,-14.74,13.68,-7.25,31.72,8.66,-8.45,7.55,-2.21,12.36,10.98,10.59,5.07,-10.6,4.39,21.56,-29.84,-1.74,-1.61,39.79,28.37,-1.94,-10.03,29.89,19.26,38.02,25.12,12.13,8.45,2.14
AAP,9.93,10.3,1.38,17.34,-6.28,14.19,11.68,-20.58,5.24,3.91,-10,14.17,-13.17,-30.51,-7.6,5.73,4.08,34.29,19.01,-6.25,12.83,-9.59,0.86,-0.99,-24.94,13.12,15.66,1.29,26.82,3.05,4.03,12.01,-8.96,-13.59,-14.51,-8.86,-12.8,-44.9,-26.4,17.39,28.94,-10.93,-3.4,-2.18,-2.34,-1.64
AAPL,-4.14,19.93,9.54,13.14,8.12,2.84,-9.5,-5.82,-2.18,-11.61,20.67,2.76,24.04,0.25,7.01,9.8,-0.86,10.33,21.95,-30.79,21.58,4.2,10.56,32.44,-14.51,42.74,27,17.54,-8.15,9.82,10.37,19.98,-0.88,-18.92,6.19,-13.63,26.91,17.63,-11.73,12.45,-10.93,8.58,21.54,20.12,34.28,39.26
AAT,7.35,2.4,-4.57,20.75,8.72,-9.4,4.21,-6.14,4.09,6.31,2.21,-0.69,-2.88,-5.86,0.96,-3.85,-12.63,14.61,-2.61,7.72,14.16,2.75,-0.81,-1.8,-45.53,11.36,-13.47,19.88,12.33,14.95,0.35,0.29,0.96,-21.62,-13.4,3.03,-29.85,3.28,1.3,15.73,-2.67,16.56,27.39,26.79,11.32,2.57
AB,17.01,3.64,0.5,-0.69,19.51,-4.34,-9.92,-10.34,-1.76,-0.55,-2.15,2.85,-2.56,3.5,2.75,3.09,7.19,6.33,6.65,-10.28,5.75,2.87,-1.24,3.1,-38.57,46.53,-0.73,24.89,18.42,16.43,6.49,-1.49,-3.73,-11.57,-15.68,-1.97,6.37,-12.04,-5.63,2.24,11.96,5.07,11.07,15.65,15.93,13.4
ABCB,10.37,-7.47,1.81,16.81,2.93,-4.17,13.68,18.23,-12.97,0.41,17.68,24.75,5.73,4.56,-0.41,0.42,9.75,0.85,-14.34,-30.7,8.46,14.09,2.68,5.72,-44.15,-0.72,-3.43,67.12,37.93,-3.58,2.47,-4.24,-11.67,-8.43,11.27,5.44,-22.4,-6.48,12.22,38.19,-8.8,47.18,40.97,32.86,20.38,9.25
ABEO,120,-45.45,-6.67,-75.36,-8.99,61.15,-19.96,-17.04,-23.81,-7.81,154.24,-19.17,3.09,28,166.41,-7.04,-9.46,11.5,-20,-44.22,3.08,-35.05,-52.72,44.69,-35.78,38.81,-65.01,53.92,19.75,-17.02,-28.21,-69.91,-6.53,-33.97,-41.54,1.32,-8.44,42.91,4.47,19,44.71,5.21,-7.2,-38.16,-40.55,-26.33
