Ticker,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MA,Price Above 200 MAV
A,Diagnostics & Research,Healthcare,28.46,24.18,0.68,148.6,8.74,9.42,NYQ,136.65,39263371264,33.18,XLV,0.34,S&P 500,#N/A,#N/A,138.32155,NO
AAL,Airlines,Industrials,0,6.58,0,11.86,-8.49,-8.49,NMS,12.96,8510883840,43.09,#N/A,-0.17,S&P 500,#N/A,#N/A,12.6446,YES
AAON,Building Products & Equipment,Industrials,48.91,39.5,0.29,102,-6.47,-6.18,NMS,109.06,8835299328,42.85,#N/A,-0.14,#N/A,#N/A,#N/A,85.7411,YES
AAP,Specialty Retail,Consumer Cyclical,0,14.87,2.51,49.33,20.23,22.74,NYQ,41.03,2448436480,84.81,#N/A,0.29,#N/A,#N/A,#N/A,62.6637,NO
AAPL,Consumer Electronics,Technology,35.88,31.57,0.43,239.7,1.52,1.95,NMS,236.1,3.59022E+12,20.22,XLK,0.08,S&P 500,DJIA,Nasdaq 100,199.82925,YES
AAT,REIT - Diversified,Real Estate,30.89,38.72,4.75,24.5,-10.88,-6.13,NYQ,27.49,2119014528,32.11,#N/A,-0.19,#N/A,#N/A,#N/A,23.2754,YES
AB,Asset Management,Financial Services,13.22,10.45,7.39,41.54,9.52,16.91,NYQ,37.93,4347498496,21.68,#N/A,1.01,#N/A,#N/A,#N/A,33.8126,YES
ABBV,Drug Manufacturers - General,Healthcare,63.34,15.64,3.32,201.94,6.98,10.3,NYQ,188.76,3.33414E+11,22,XLV,0.34,S&P 500,#N/A,#N/A,176.53455,YES
ABCB,Banks - Regional,Financial Services,13.89,12.55,0.93,69.6,11.39,12.32,NYQ,62.485,4315651584,71.47,#N/A,0.17,#N/A,#N/A,#N/A,52.4461,YES
ABEO,Biotechnology,Healthcare,0,-4.43,0,15.92,143.43,143.43,NCM,6.54,283276160,114.99,#N/A,1.45,#N/A,#N/A,#N/A,5.60905,YES
ABG,Auto & Truck Dealerships,Consumer Cyclical,11.77,8,0,247.43,6.77,6.77,NYQ,231.75,4628590080,38.01,#N/A,0.16,#N/A,#N/A,#N/A,225.48355,YES
ABM,Specialty Business Services,Industrials,22.41,14.82,1.64,57.5,5.99,7.63,NYQ,54.25,3405800192,32.4,#N/A,0.27,#N/A,#N/A,#N/A,47.65065,YES
ABNB,Travel Services,Consumer Cyclical,18.45,29.35,0,129.2,-4.71,-4.71,NMS,135.59,85750226944,28.26,XLY,-0.11,S&P 500,#N/A,Nasdaq 100,143.71867,NO
